sn1;sn2;nbcar;unemp;ageyngst;hhtype;sn3;sn4;dyear;ddayofwk;working_day;dml1_0;dml1_1;dml1_2;dml1_3;dml1_4;dml1_5;dml1_6;dml1_7;dml1_8;dml1_9a;dml1_9b;dml2_01;a_alone;a_wch9;a_wothh;a_wothp;a_asleep;a_noans;a_totwth;dage;dsex;dethnic;pop_den;numadult;numchild;child;num0_2;num3_4;num5_9;econact;hrs_unpd;hrs_job1;hrs_job2;hrs_tot;nssecb;nssecb_8;nssecb_5;nssecb_3;wtdry_ug;car;health;hiqual4;region;hnumb;selfemp;public;cadre;parttime;shiftwork;flexitime;nethinc;indlabinc
12;184;7;4,6;6;3;1;1;2000;6;1;810;0;0;30;0;190;0;0;0;220;190;470;0;0;0;970;470;0;1440;63;1;0;298,21;2;0;0;0;0;0;1;;45;;45;11,1;5;4;3;0,522094833;1;1;7;8;2;0;0;0;0;0;0;606,8092651;423
12;184;7;4,6;6;3;1;2;2000;1;0;570;600;0;60;0;0;0;0;100;80;30;510;160;0;170;0;1110;0;1440;63;1;0;298,21;2;0;0;0;0;0;1;;45;;45;11,1;5;4;3;1,306858709;1;1;7;8;2;0;0;0;0;0;0;606,8092651;423
12;184;7;4,6;6;3;2;1;2000;6;1;570;0;0;630;30;40;0;0;80;90;0;470;310;0;130;530;470;0;1440;57;2;0;298,21;2;0;0;0;0;0;1;;32;;32;7,3;3;2;2;0,470300664;1;1;12;8;2;0;1;0;1;1;0;606,8092651;174,5958405
12;184;7;4,6;6;3;2;2;2000;1;0;540;560;0;170;0;60;0;0;30;30;50;480;160;0;20;220;1040;0;1440;57;2;0;298,21;2;0;0;0;0;0;1;;32;;32;7,3;3;2;2;1,177231546;1;1;12;8;2;0;1;0;1;1;0;606,8092651;174,5958405
13;232;3;4,3;6;3;1;1;2000;6;0;500;610;0;30;0;30;0;0;170;100;0;290;190;0;290;60;900;0;1440;59;1;0;1285,58;3;0;0;0;0;0;1;;48;;48;4,3;2;1;1;0,850707982;1;2;5;8;3;1;0;0;0;0;0;755,5057983;461,8937683
13;232;3;4,3;6;3;1;2;2000;2;0;580;550;0;20;0;0;0;0;20;240;30;380;270;0;240;0;930;0;1440;59;1;0;1285,58;3;0;0;0;0;0;1;;48;;48;4,3;2;1;1;2,18755771;1;2;5;8;3;1;0;0;0;0;0;755,5057983;461,8937683
13;232;3;4,3;6;3;2;2;2000;2;0;510;420;0;400;0;30;0;0;50;30;0;390;360;0;270;0;810;0;1440;55;2;0;1285,58;3;0;0;0;0;0;1;;20;;20;9,1;4;3;2;2,058333482;1;2;4;8;3;1;0;0;0;0;0;755,5057983;46,18937683
13;232;3;4,3;6;3;3;1;2000;6;1;650;0;0;30;0;490;160;0;0;110;0;490;80;0;0;870;490;0;1440;21;1;0;1285,58;3;0;0;0;0;0;1;;37;;37;7,2;3;2;2;0,97023262;1;1;3;8;3;0;0;0;0;0;0;755,5057983;230,9468842
13;232;3;4,3;6;3;3;2;2000;2;0;580;550;0;0;0;20;0;0;30;250;10;550;240;0;90;10;1100;0;1440;21;1;0;1285,58;3;0;0;0;0;0;1;;37;;37;7,2;3;2;2;2,485195422;1;1;3;8;3;0;0;0;0;0;0;755,5057983;230,9468842
13;276;1;4,3;5;3;2;1;2000;4;5;770;0;460;70;0;0;0;0;100;40;0;640;160;0;140;40;1100;0;1440;21;2;0;1285,58;3;0;0;0;0;0;3;;;;;15;9;7;5;0,971110276;2;2;12;8;3;0;0;0;0;0;0;55,78806305;0
13;276;1;4,3;5;3;2;2;2000;6;5;730;0;150;50;0;140;170;0;160;40;0;530;50;0;460;240;680;10;1440;21;2;0;1285,58;3;0;0;0;0;0;3;;;;;15;9;7;5;0,405142349;2;2;12;8;3;0;0;0;0;0;0;55,78806305;0
13;298;2;4,3;6;3;1;1;2000;6;0;630;190;0;300;0;20;0;0;230;70;0;510;70;0;670;120;700;0;1560;53;2;0;1285,58;3;0;0;0;0;0;1;;58;;58;2;1,1;1;1;0,880650801;1;2;7;8;3;0;0;1;0;0;0;811,7067261;300,230957
13;298;2;4,3;6;3;1;2;2000;1;0;560;500;0;150;0;10;0;0;150;70;0;420;80;0;300;60;920;80;1440;53;2;0;1285,58;3;0;0;0;0;0;1;;58;;58;2;1,1;1;1;2,204192241;1;2;7;8;3;0;0;1;0;0;0;811,7067261;300,230957
13;298;2;4,3;6;3;2;1;2000;6;0;580;440;0;120;0;50;0;0;230;20;0;520;50;0;390;0;960;40;1440;47;1;0;1285,58;3;0;0;0;0;0;1;;85;;85;5;2;1;1;0,950029704;1;1;2;8;3;0;0;1;0;0;0;811,7067261;325
13;298;2;4,3;6;3;2;2;2000;1;0;530;750;0;20;0;0;0;0;130;10;0;480;20;0;190;0;1230;0;1440;47;1;0;1285,58;3;0;0;0;0;0;1;;85;;85;5;2;1;1;2,377694099;1;1;2;8;3;0;0;1;0;0;0;811,7067261;325
13;298;2;4,3;6;3;3;1;2000;6;1;640;0;430;40;0;0;0;0;270;60;0;560;190;0;190;70;990;0;1440;24;1;0;1285,58;3;0;0;0;0;0;1;;40;;40;12,1;6;5;3;1,067559366;1;2;3;8;3;0;1;0;0;0;0;811,7067261;170
13;298;2;4,3;6;3;3;2;2000;1;2;790;0;300;100;0;0;0;0;230;20;0;700;200;0;180;60;1000;0;1440;24;1;0;1285,58;3;0;0;0;0;0;1;;40;;40;12,1;6;5;3;2,67150227;1;2;3;8;3;0;1;0;0;0;0;811,7067261;170
13;367;2;4,3;3;2;2;1;2000;3;0;550;550;0;80;0;10;0;0;160;90;0;440;0;360;400;30;990;0;1780;38;2;0;1285,58;2;1;1;0;0;1;1;;43;;43;4,1;2;1;1;1,645993551;4;3;1;8;3;0;1;1;0;0;0;496,6766968;451,9230652
13;389;1;4,3;6;3;1;1;2000;7;5;610;0;0;560;0;0;0;0;270;0;0;420;680;0;340;0;420;0;1440;65;2;0;1285,58;2;0;0;0;0;0;3;;;;;12,6;6;5;3;0,589941248;1;3;12;8;2;0;1;0;1;0;0;230,9895935;0
13;389;1;4,3;6;3;1;2;2000;1;5;560;0;0;460;0;10;0;0;410;0;0;420;740;0;280;0;420;0;1440;65;2;0;1285,58;2;0;0;0;0;0;3;;;;;12,6;6;5;3;1,457521903;1;3;12;8;2;0;1;0;1;0;0;230,9895935;0
13;389;1;4,3;6;3;2;1;2000;7;5;670;0;0;330;0;0;0;0;250;180;10;490;640;0;300;0;490;10;1440;64;1;0;1285,58;2;0;0;0;0;0;3;;;;;2;1,1;1;1;0,620290394;1;1;1;8;2;0;1;1;0;0;0;230,9895935;0
13;389;1;4,3;6;3;2;2;2000;1;5;690;0;0;480;0;0;0;0;260;0;10;440;200;0;250;550;440;0;1440;64;1;0;1285,58;2;0;0;0;0;0;3;;;;;2;1,1;1;1;1,533301091;1;1;1;8;2;0;1;1;0;0;0;230,9895935;0
14;528;1;6,7;6;3;1;1;2000;4;3;750;0;0;120;90;90;0;0;250;120;20;620;260;0;150;190;620;220;1440;32;2;0;949,66;2;0;0;0;0;0;1;;30;;30;13,2;7;5;3;1,228178846;2;3;4;8;2;0;1;0;0;0;0;390,9504089;150
14;528;1;6,7;6;3;1;2;2000;7;3;770;0;0;220;0;0;0;0;420;0;30;550;670;0;40;0;550;180;1440;32;2;0;949,66;2;0;0;0;0;0;1;;30;;30;13,2;7;5;3;0,520043122;2;3;4;8;2;0;1;0;0;0;0;390,9504089;150
14;528;1;6,7;6;3;2;1;2000;4;1;730;0;0;70;80;300;0;0;60;190;10;580;70;0;180;400;580;210;1440;25;1;0;949,66;2;0;0;0;0;0;1;;50;;50;7,2;3;2;2;1,352713025;1;2;3;8;2;0;1;0;0;1;0;390,9504089;265,5889282
14;528;1;6,7;6;3;2;2;2000;7;0;370;940;0;10;0;0;0;0;0;120;0;330;10;0;10;20;1270;130;1440;25;1;0;949,66;2;0;0;0;0;0;1;;50;;50;7,2;3;2;2;0,572417555;1;2;3;8;2;0;1;0;0;1;0;390,9504089;265,5889282
14;539;1;6,7;6;3;1;1;2000;6;0;730;80;0;420;0;0;0;0;150;60;0;520;0;0;670;70;600;100;1440;57;2;0;949,66;2;0;0;0;0;0;1;;15;;15;7,1;3;2;2;0,651440761;1;2;12;8;2;0;1;0;1;0;0;344,5301514;135
14;539;1;6,7;6;3;1;2;2000;2;1;630;0;0;220;240;0;60;0;200;90;0;510;0;0;930;710;510;0;2150;57;2;0;949,66;2;0;0;0;0;0;1;;15;;15;7,1;3;2;2;1,682168432;1;2;12;8;2;0;1;0;1;0;0;344,5301514;135
14;539;1;6,7;6;3;2;1;2000;6;5;870;0;0;180;0;0;0;0;140;30;220;630;210;0;570;30;630;0;1440;60;1;0;949,66;2;0;0;0;0;0;3;;;;;13,4;7;5;3;;2;3;12;8;2;0;0;0;0;0;0;344,5301514;0
14;539;1;6,7;6;3;2;2;2000;2;5;620;0;0;70;320;130;0;0;170;100;30;510;0;0;930;420;510;0;1860;60;1;0;949,66;2;0;0;0;0;0;3;;;;;13,4;7;5;3;1,866385619;2;3;12;8;2;0;0;0;0;0;0;344,5301514;0
14;551;0;6,7;2;2;1;1;2000;5;0;570;320;0;220;0;20;0;0;190;120;0;420;0;590;0;20;740;90;1440;41;2;0;949,66;2;3;1;0;1;2;1;;21;;21;10;5;4;3;1,862431521;4;2;12;8;5;0;1;1;1;0;0;241,6158447;89,75
